Name of Restaurent ,Type of Cusine,Rating,Total No of Ratings,Cost,Landmark,Opening time,Current Status,Dine in availability,Takeaway type,Delivery availability,Location and Address,Description of the Restaurent,Restaurent Name,Rating,number-of-reviews,veg /Non- Veg
Cardero's Restaurant,Seafood,4.5,"3,271",Expensive,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,1583 Coal Harbour Quay,"Seafood, burgers & classic comfort dishes on expansive marina-side patio plus weekend brunch.",Cardero's Restaurant,4.5,(3271),Non-Veg
Phnom Penh Restaurant,Cambodian,4.5,"2,922",Average Cost,,,,,,,244 E Georgia St,Vietnamese-Cambodian institution draws fans with specialties including chicken wings & butter beef.,Phnom Penh Restaurant,4.5,(2922),Non-Veg
Joe Fortes Seafood & Chop House,Seafood,4.5,"3,761",Expensive,,11AM,Closed,Dine-in,Delivery,,"Vancouver, BC, Canada","Vibrant, booth-lined dining room for seafood & steak, with a popular oyster bar & rooftop patio.",Joe Fortes Seafood & Chop House,4.5,(3761),Non-Veg
Northern Cafe,Diner,4.9,394,Not Expensive,,7AM,Closed,,,,"Vancouver, BC, Canada",,Northern Cafe,4.9,(394),Non-Veg
Bishop's,Pacific Northwest,4.7,217,Too Expensive,,5:30PM,Closed,,,,"Vancouver, BC, Canada",Inspired plates crafted with seasonal British Columbian ingredients in an intimate atmosphere.,Bishop's,4.7,(217),Non-Veg
Wildebeest,Pacific Northwest,4.3,812,Expensive,,,,,,,"Vancouver, BC, Canada",Meat-centric restaurant serving locally sourced Pacific Northwest plates & cocktails in a hip setup.,Wildebeest,4.3,(812),Non-Veg
Five Sails Restaurant,Fine Dining,4.6,265,Too Expensive,,12PM,Closed,,,,"Vancouver, BC, Canada ú In the Pan Pacific Vancouver",Pacific NW fine-dining room in the Pan Pacific Hotel featuring sweeping views of water & mountains.,Five Sails Restaurant,4.6,(265),Non-Veg
Osteria Savio Volpe,Italian,4.6,"1,421",Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada",Housemade charcuterie & wood-fired Italian fare served in an industrial-chic restaurant/bar.,Osteria Savio Volpe,4.6,(1421),Non-Veg
Lupo Restaurant & Vinoteca,Italian,4.5,617,Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada","Cozy, romantic atmosphere for classic Italian meals with modern touches.",Lupo Restaurant & Vinoteca,4.5,(617),Non-Veg
Cafe Medina,Brunch,4.5,"2,913",Average Cost,,8AM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada ú In L'Hermitage Vancouver","Snug spot for coffee, & an eclectic daytime menu including waffles with unique toppings.",Cafe Medina,4.5,(2913),Non-Veg
Absinthe Bistro,French,4.8,282,Average Cost,,5PM,Closed,Dine-in,Curbside pickup,Delivery,"Vancouver, BC, Canada",Casual-chic eatery offering cocktails & a rotating fixed-price menu of modern French cuisine.,Absinthe Bistro,4.8,(282),Non-Veg
Fanny Bay Oyster Bar & Shellfish Market,Oyster Bar,4.5,"1,301",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada","Shellfish market & contemporary seafood eatery featuring a raw bar, sandwiches, fried fare & more.",Fanny Bay Oyster Bar & Shellfish Market,4.5,(1301),Non-Veg
Kingyo,Izakaya,4.5,"1,526",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada","Upbeat izakaya with inspired decor, offering inventive Japanese small plates & bento boxes.",Kingyo,4.5,(1526),Non-Veg
Brix & Mortar,Restaurant,4.4,723,Expensive,,4PM,Closed,,,,"Vancouver, BC, Canada",Modern Canadian fare & some 60 wines by the glass served in a chic heritage building with a patio.,Brix & Mortar,4.4,(723),Non-Veg
Fable Kitchen,Diner,4.5,885,Expensive,,2PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Bistro for inventive farm-to-table brunch & dinner in a lively space with an open kitchen.,Fable Kitchen,4.5,(885),Non-Veg
Bacchus Restaurant & Lounge,European,4.5,442,Expensive,,12PM,Closed,,,,"Vancouver, BC, Canada ú Near the Vancouver Art Gallery","European-inspired menu, afternoon tea & cocktails in ornate space with old-world charm & piano bar.",Bacchus Restaurant & Lounge,4.5,(442),Non-Veg
Giardino Restaurant,Tuscan,4.6,519,Too Expensive,,5:30PM,Closed,,,,"Vancouver, BC, Canada","Italian cuisine in a classy, Tuscan-style dining room with vaulted ceilings, a courtyard & a bar.",Giardino Restaurant,4.6,(519),Non-Veg
Top Of Vancouver Revolving Restaurant,Continental restaurant,4.0,"1,245",,"Vancouver, BC, Canada ú In Harbour Centre",3PM,Closed,Dine-in,Takeaway,Delivery,,An upscale revolving restaurant with Continental cuisine & sweeping views of mountains & ocean.,Top Of Vancouver Revolving Restaurant,4.0,(1245),Non-Veg
Salmon n' Bannock,Pacific Northwest,4.6,380,Average Cost,,1PM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada ú In Broadway Centre","Intimate eatery featuring Native Canadian fare such as wild fish, game meat & bannock.",Salmon n' Bannock,4.6,(380),Non-Veg
Le Crocodile,French,4.6,833,Too Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Long-standing destination for Michel Jacob's traditional French cooking in an elegant space.,Le Crocodile,4.6,(833),Non-Veg
Tojo's Restaurant,Japanese,4.3,411,Too Expensive,,4PM,Closed,,,,"Vancouver, BC, Canada",Casually elegant Japanese kitchen for sushi & omakase meals.,Tojo's Restaurant,4.3,(411),Non-Veg
Nightingale,Canadian,4.5,"1,630",Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada ú In the Marine Building",Chef David Hawksworth's informal restaurant/bar serving modern Canadian fare & classic cocktails.,Nightingale,4.5,(1630),Non-Veg
Ramen DANBO,Ramen,4.6,"2,311",,"Vancouver, BC, Canada",11AM,Closed,Dine-in,Takeaway,Delivery,,,Ramen DANBO,4.6,(2311),Non-Veg
Maenam,Thai,4.3,655,Expensive,,12PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Chic eatery serving traditional Thai dishes with contemporary twists plus a sleek bar for cocktails.,Maenam,4.3,(655),Non-Veg
The Mackenzie Room,Canadian,4.6,432,Expensive,,5:30PM,Closed,,,,"Vancouver, BC, Canada","Locally sourced New American eats, craft cocktails & a daily punch served in a rustic-chic locale.",The Mackenzie Room,4.6,(432),Non-Veg
Heritage Asian Eatery,Restaurant,4.2,616,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Modern, understated counter serve offering refined, inventive takes on Asian comfort foods.",Heritage Asian Eatery,4.2,(616),Non-Veg
Teahouse in Stanley Park,Seafood,4.4,"1,472",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada ú In Stanley Park","Cheerful spot in the park offering refined seafood & New Canadian cuisine, with brunch & cocktails.",Teahouse in Stanley Park,4.4,(1472),Non-Veg
The Red Wagon,Restaurant,4.3,"1,398",Average Cost,,9AM,Closed,,,,"Vancouver, BC, Canada",Hip local diner with an all-day menu of inventive comfort-food classics plus cocktails & beer.,The Red Wagon,4.3,(1398),Non-Veg
MeeT in Gastown,Vegetarian,4.5,"2,386",Average Cost,,11AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada",,MeeT in Gastown,4.5,(2386),Non-Veg
"Rocky Mountain Flatbread, Main Street",Pizza,4.5,799,Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada",,"Rocky Mountain Flatbread, Main Street",4.5,(799),Non-Veg
CinCin Ristorante + Bar,Italian,4.4,843,Expensive,,5PM,Closed,Dine-in,,,"Vancouver, BC, Canada","Longtime eatery offering upscale Italian dishes, handmade pastas & choice wines in a warm room.",CinCin Ristorante + Bar,4.4,(843),Non-Veg
PiDGiN Restaurant,Asian Fusion,4.4,595,Expensive,,5PM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada ú Near Dr. Sun Yat-Sen Classical Chinese Garden","Stylish restaurant offering creative, French-influenced takes on Asian cuisine plus craft cocktails.",PiDGiN Restaurant,4.4,(595),Non-Veg
Minami,Japanese,4.5,"1,937",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Stylish eatery specializing in sustainably caught Japanese fish & creative hot entrees.,Minami,4.5,(1937),Non-Veg
Italia Bella Bar & Grill,Italian,4.4,201,Average Cost,,6:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada ú In Best Western Plus Uptown Hotel","Classic & modern Italian dishes, plus a variety of wine, offered in casual, contemporary surrounds.",Italia Bella Bar & Grill,4.4,(201),Non-Veg
Marutama Ra-men Canada / Westend,Ramen,4.6,"2,036",Not Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Intimate eatery serving ramen noodle soups with add-ins like braised pork belly & soft-boiled eggs.,Marutama Ra-men Canada / Westend,4.6,(2036),Non-Veg
Sula Indian Restaurant,Indian,4.5,788,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada","Relaxed Indian place with eclectic decor offering chicken korma & other standards, plus takeout.",Sula Indian Restaurant,4.5,(788),Non-Veg
Jam Cafe Kitsilano,Restaurant,4.7,434,Average Cost,,8AM,Closed,,,,"Vancouver, BC, Canada",,Jam Cafe Kitsilano,4.7,(434),Non-Veg
delhi6 Indian bistro,Indian,4.5,382,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada",A mix of classic & creative Indian dishes presented in a sophisticated setting with a bar.,delhi6 Indian bistro,4.5,(382),Non-Veg
Trattoria,Italian,4.1,905,Average Cost,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,"Vancouver, BC, Canada","Pizza, pastas & familiar Italian dishes plus family-style platters in a stylish yet comfy setting.",Trattoria,4.1,(905),Non-Veg
Gotham Steakhouse & Cocktail Bar,Steak,4.5,"1,385",Too Expensive,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,"Vancouver, BC, Canada",High-end steaks & an extensive wine list are offered in a snazzy art deco setting with a lounge.,Gotham Steakhouse & Cocktail Bar,4.5,(1385),Non-Veg
The Sandbar Seafood Restaurant,Seafood,4.4,"2,530",Expensive,,4PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Seafood hot spot under the Granville Island bridge with sushi made to order & live music nightly.,The Sandbar Seafood Restaurant,4.4,(2530),Non-Veg
Burdock & Co,Small Plates,3.9,249,Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada","Restaurant serving regional Canadian share plates & seasonally rotating wines in a hip, cozy space.",Burdock & Co,3.9,(249),Non-Veg
Les Faux Bourgeois,French,4.6,877,Expensive,,5:30PM,Closed,Dine-in,Takeaway,Delivery,663 E 15th Ave,"Lively bistro for classic French dishes like duck confit & steak frites, plus local & Gallic wines.",Les Faux Bourgeois,4.6,(877),Non-Veg
Coast,Seafood,4.2,"1,408",Expensive,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,1054 Alberni St,"Upmarket bi-level eatery serving West Coast seafood, with a huge circular oyster bar & cocktails.",Coast,4.2,(1408),Non-Veg
Ask For Luigi Restaurant,Italian,4.5,"1,302",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,305 Alexander St,"Cozy eatery serving large, refined Italian dishes meant for sharing, with gluten-free choices.",Ask For Luigi Restaurant,4.5,(1302),Non-Veg
Seasons in the Park,Restaurant,4.3,"1,524",Expensive,,11:30AM,Closed,Dine-in,Takeaway,,"W 33rd Ave ú In Queen Elizabeth Park, British Columbia","Elevated Pacific Northwest dishes served in a park setting, with panoramic views of the city.",Seasons in the Park,4.3,(1524),Non-Veg
Notch8 Restaurant & Bar,Canadian,4.1,480,Expensive,,6:30AM,Closed,,,,900 W Georgia St ú In Hotel Vancouver,"Upscale hotel bistro offering elevated Canadian cuisine amid vintage-chic, train-inspired decor.",Notch8 Restaurant & Bar,4.1,(480),Non-Veg
Pourhouse Restaurant,Restaurant,4.4,856,Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,162 Water St,Creative cocktails & seasonal fare served in a century-old warehouse setting with a 38-ft. bar.,Pourhouse Restaurant,4.4,(856),Non-Veg
Italian Kitchen,Italian,4.1,"1,388",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,860 Burrard St ú Near the Vancouver Art Gallery,"hot spot with a long marble bar, serving inventive Italian regional dishes.",Italian Kitchen,4.1,(1388),Non-Veg
Twisted Fork Bistro,Brunch,4.4,"1,040",Average Cost,,,Temporarily closed,,,,213 Carrall St,A warm & woody space with booths serving creative French bistro fare plus local wines & beers.,Twisted Fork Bistro,4.4,(1040),Non-Veg
The Fish Counter,Seafood,4.6,784,Average Cost,,10AM,Closed,Dine-in,Takeaway,Delivery,3825 Main St,Counter-serve eatery & market with a local focus serving casual fare like fish 'n' chips & chowder.,The Fish Counter,4.6,(784),Non-Veg
Ashiana Tandoori,Indian,4.7,354,Average Cost,,5PM,Closed,Dine-in,Takeaway,Delivery,1440 Kingsway,"Venerable, family-run stop for tandoori dishes, curries & other Indian staples in warm environs.",Ashiana Tandoori,4.7,(354),Non-Veg
The Templeton,Diner,4.5,"1,409",Not Expensive,,8:30AM,Closed,Dine-in,Takeaway,,1087 Granville St,"Jukebox-lined eatery with free-run eggs & breakfast faves, plus organic burgers & classic shakes.",The Templeton,4.5,(1409),Non-Veg
Shizenya,Japanese,4.4,747,Average Cost,,11:30AM,Closed,,,,965 Hornby St,Health-oriented Japanese place offering sushi with brown rice & organic greens & vegetarian options.,Shizenya,4.4,(747),Non-Veg
Vij's,Takeout restaurant,4.4,"1,249",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,3106 Cambie St,Celebrated Indian restaurant offering inventive cuisine & a lively atmosphere.,Vij's,4.4,(1249),Non-Veg
Glowbal,Fusion restaurant,3.9,"1,502",Expensive,,11:30AM,Closed,Dine-in,Curbside pickup,No-contact delivery,590 W Georgia St,"Global fare & lots of cocktails served in a glitzy, sprawling space with a long, sleek bar.",Glowbal,3.9,(1502),Non-Veg
Sai Woo,Asian Fusion,4.2,465,Average Cost,,5:30PM,Closed,,,,158 E Pender St ú Near Dr. Sun Yat-Sen Classical Chinese Garden,Stylish spot in a heritage building offers a shareable Asian fusion menu plus specialty cocktails.,Sai Woo,4.2,(465),Non-Veg
MeeT on Main,Vegetarian,4.5,"2,101",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,4288 Main St,"Innovative vegan & vegetarian dishes are the draw at this vibrant, simply appointed bistro.",MeeT on Main,4.5,(2101),Non-Veg
Vij's Rangoli,Indian,4.2,584,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,3106 Cambie St,Famed Vij's sister restaurant offers modern Indian dishes in a casual setting.,Vij's Rangoli,4.2,(584),Non-Veg
Tavola,Italian,4.5,470,Average Cost,,5PM,Closed,Dine-in,Curbside pickup,Delivery,1829 Robson St,Housemade pastas & Italian plates designed for sharing in a welcoming space with a heated patio.,Tavola,4.5,(470),Non-Veg
East is East,Takeout restaurant,4.4,"1,273",Average Cost,,12PM,Closed,,,,4433 Main St,,East is East,4.4,(1273),Non-Veg
The Flying Pig Gastown,Canadian,4.2,"2,304",Average Cost,,3PM,Closed,Dine-in,Takeaway,Delivery,102 Water St,"Canadian standards often come with a twist at this bistro in an hip, bustling space.",The Flying Pig Gastown,4.2,(2304),Non-Veg
The Keg Steakhouse + Bar - Dunsmuir,Restaurant,4.3,"1,833",Expensive,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Classic steak & seafood dishes are the mainstays at this stylish yet casual chain restaurant.,The Keg Steakhouse + Bar - Dunsmuir,4.3,(1833),Non-Veg
Sura Korean Royal Cuisine Restaurant Vancouver,Korean,4.4,"1,540",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Stylish restaurant with familiar Korean dishes, a Royal Cuisine-inspired set menu & a soju list.",Sura Korean Royal Cuisine Restaurant Vancouver,4.4,(1540),Non-Veg
The Flying Pig Yaletown,Restaurant,4.2,"1,713",Average Cost,,3PM,Closed,Dine-in,Takeaway,No-contact delivery,"Vancouver, BC, Canada","Canadian standards often come with a twist at this bistro in an hip, bustling space.",The Flying Pig Yaletown,4.2,(1713),Non-Veg
La Mezcaleria,Mexican,4.3,467,Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada","Warm, narrow brick-lined Mexican eatery for tacos, chicken mole & veggie dishes plus margaritas.",La Mezcaleria,4.3,(467),Non-Veg
Kishimoto Japanese Restaurant,Japanese,4.4,693,Average Cost,,5PM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada","Lively spot best known for sushi, also offering Japanese appetizers, udon & cooked fish dishes.",Kishimoto Japanese Restaurant,4.4,(693),Non-Veg
Nook,Italian,4.5,343,Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada","Rustic Italian fare made with seasonal ingredients plus wines in a cozy, lively space.",Nook,4.5,(343),Non-Veg
Tandoori Fusion,Indian,4.3,291,Average Cost,,12PM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada","Indian cuisine from multiple regions is served in this bright, simple restaurant, with delivery.",Tandoori Fusion,4.3,(291),Non-Veg
Rodney's Oyster House,Oyster Bar,4.4,"1,339",Average Cost,,3PM,Closed,,,,"Vancouver, BC, Canada","Casual, airy seafood spot with a long bar, a lively atmosphere & happy hour specials.",Rodney's Oyster House,4.4,(1339),Non-Veg
Dockside Restaurant,Restaurant,4.0,608,Expensive,,11:30AM,Closed,,,,"Vancouver, BC, Canada",Eatery with a brewery & a waterfront patio offering Pacific NW fare in a dining room with a view.,Dockside Restaurant,4.0,(608),Non-Veg
Raga Restaurant,Indian,4.6,262,Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada",This easygoing locale serves familiar Indian dishes including curries & lamb vindaloo.,Raga Restaurant,4.6,(262),Non-Veg
Anh and Chi,Vietnamese,4.3,"1,769",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Simple, long-time eatery with Vietnamese staples such as pho, with vegetarian & gluten-free options.",Anh and Chi,4.3,(1769),Non-Veg
Salam Bombay,Indian,4.1,968,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada ú Near the Vancouver Art Gallery","Upper-level dining room & lounge offering classic Indian dishes, a big wine list & a lunch buffet.",Salam Bombay,4.1,(968),Non-Veg
The Mexican Antojitos y Cantina,Mexican,4.4,"1,282",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada","Colourful, comfy cantina for traditional Mexican cooking, Latin cocktails & live soccer on TV.",The Mexican Antojitos y Cantina,4.4,(1282),Non-Veg
Legendary Noodle,Chinese Noodles,4.4,370,,"Vancouver, BC, Canada",12PM,Closed,,,,,"Small eatery sporting traditional Chinese decor specializes in handmade noodles, soups & tea.",Legendary Noodle,4.4,(370),Non-Veg
Cuchillo,Latin American,4.5,683,Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada","Latin American small plates, creative entrees & cocktails in arty, industrial-chic surrounds.",Cuchillo,4.5,(683),Non-Veg
Indian Roti Kitchen,Indian,4.5,401,Not Expensive,,4PM,Closed,,,,"Vancouver, BC, Canada","Compact, basic restaurant specializing in generously-stuffed, Indian-style flatbread wraps.",Indian Roti Kitchen,4.5,(401),Non-Veg
Red Umbrella Cafe,Breakfast,4.4,639,Average Cost,,8:30AM,Closed,,,,"Vancouver, BC, Canada","Comfy spot offering all-day breakfasts & sandwiches, plus baked goods & espresso drinks.",Red Umbrella Cafe,4.4,(639),Non-Veg
The Basic,Breakfast,4.4,855,Not Expensive,,8AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",,The Basic,4.4,(855),Non-Veg
Sal y Lim¢n,Mexican,4.5,"3,626",Not Expensive,,10:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Casual shopping-center eatery with art displays & classic Mexican fare like tortas & burritos.,Sal y Lim¢n,4.5,(3626),Non-Veg
Dosa & Curry,Indian,4.6,587,Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","An array of classic Indian dishes, specializing in dosas, in an easygoing space with booth seating.",Dosa & Curry,4.6,(587),Non-Veg
Espana Restaurant,Spanish,4.4,457,Average Cost,,4PM,Closed,,,,"Vancouver, BC, Canada","Low-lit, intimate tapas bar with locally sourced, Spanish small plates, sherries & craft cocktails.",Espana Restaurant,4.4,(457),Non-Veg
MeeT in Yaletown,Restaurant,4.5,"1,089",Average Cost,,11AM,Closed,Dine-in,Curbside pickup,No-contact delivery,"Vancouver, BC, Canada",,MeeT in Yaletown,4.5,(1089),Non-Veg
Dark Table,Restaurant,4.5,"1,088",Expensive,,5:45PM,Closed,,,,"Vancouver, BC, Canada",Visually impaired servers guide diners through an upscale menu & dining in complete darkness.,Dark Table,4.5,(1088),Non-Veg
Momo Sushi,Sushi,4.2,"1,506",Not Expensive,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada ú In The Landing",Neon signs light up the interior of this restaurant serving Japanese dishes & sushi specials.,Momo Sushi,4.2,(1506),Non-Veg
Miko Sushi Japanese Restaurant,Sushi,4.3,355,Average Cost,,11:30AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada",Cozy eatery dishing up raw & cooked Japanese classics & festooned with celebrity autographs.,Miko Sushi Japanese Restaurant,4.3,(355),Non-Veg
Heirloom Vegetarian Restaurant,Vegetarian,4.4,"1,171",Average Cost,,11AM,Closed,,,,"Vancouver, BC, Canada","Bright, modern cafe serving elevated, locally sourced vegetarian & vegan dishes, plus cocktails.",Heirloom Vegetarian Restaurant,4.4,(1171),Non-Veg
Pepino's Spaghetti House,Italian,4.4,469,Expensive,,5PM,Closed,,,,"Vancouver, BC, Canada","Warm, laid-back Italian eatery with wood paneling offering classics from pasta to cocktails & wine.",Pepino's Spaghetti House,4.4,(469),Non-Veg
Nuba in Gastown,Takeout restaurant,4.4,"2,056",Average Cost,,12PM,Closed,,,,"Vancouver, BC, Canada ú In The Dominion Building","Popular Lebanese eatery & juice bar with bright decor, plus many vegetarian & vegan options.",Nuba in Gastown,4.4,(2056),Non-Veg
Silk Dinner Lounge and Restaurant,Indian,4.3,240,Average Cost,,5PM,Closed,,,,"Vancouver, BC, Canada",Contemporary takes on classic Indian dishes & homemade pasta with vibrant interior details.,Silk Dinner Lounge and Restaurant,4.3,(240),Non-Veg
JOEY Burrard,Restaurant,4.3,"1,858",Average Cost,,11AM,Closed,Dine-in,Takeaway,Delivery,"Vancouver, BC, Canada ú Near the Vancouver Art Gallery",Snazzy chain outpost known for frozen cocktails offering an eclectic menu from sushi to steak.,JOEY Burrard,4.3,(1858),Non-Veg
The Vancouver Fish Company,Seafood,4.1,"1,240",Average Cost,,11:30AM,Closed,Dine-in,Takeaway,,"Vancouver, BC, Canada","Airy, harbourside seafood eatery with soaring ceilings, patio seating & craft beers on tap.",The Vancouver Fish Company,4.1,(1240),Non-Veg
